Event ID,Event Name,Department Name,End Date,Status
0000032079,"HSR24-05-Clearance and Demolition Services at 5355 N. Golden State Blvd., Fresno, CA 93722.",High Speed Rail Authority,"08/05/2024
11:00AM PDT",Posted
EEOS90424,Audit Services,State Controller,"08/05/2024
2:00PM PDT",Posted
0000032186,IFB 24C660005 CHP Blythe Area Office - Water Treatment and Testing Services,Dept of the CA Highway Patrol,"08/05/2024
2:00PM PDT",Posted
0000032090,RFQ 2024- 4071 | Captioning Interpreter Services,Dept of Tax and Fee Admin,"08/05/2024
2:00PM PDT",Posted
0000031343,CDFW Tractors-DGS-OTA          ADDENDUM 1,Department of Fish & Wildlife,"08/05/2024
2:00PM PDT",Posted
0000032176,Pipette Calibration - Statewide,Department of Justice,"08/05/2024
3:00PM PDT",Posted
0000031949,IFB 10192634 - Pump and Turbines Services (SoCal),Department of Water Resources,"08/05/2024
3:00PM PDT",Posted
0000031755,IFB 10192633 - Pump and Turbines Services (NorCal),Department of Water Resources,"08/05/2024
3:00PM PDT",Posted
24-015,Sponsorship and Sales Representative,22nd DAA,"08/05/2024
4:00PM PDT",Posted
0000032115,**DVBE Option only** SaaS #2024-HRO-088477 Monday.com Subscription Renewal,Dept of Finan Protec and Innov,"08/05/2024
4:00PM PDT",Posted
0000031146,California Conservation Corps Public Relations & Marketing Services,CA Conservation Corps,"08/05/2024
5:00PM PDT",Posted
P24-0017A,P24-0017A Salicylic Acid,Dept of Food & Agriculture,"08/05/2024
5:00PM PDT",Posted
24-138,24-138 Waste and Recycle Removal Services for San Ysidro DMV,Department of Motor Vehicles,"08/05/2024
11:59PM PDT",Posted
24-116,"24-116 One-time Landscape Cleanup, Bi-weekly Landscape Maintenance Services, and Yearly Landscape Maintenance Services for the Glendale DMV Field Office",Department of Motor Vehicles,"08/05/2024
11:59PM PDT",Posted
NE24-115XT,"24-115 One-time Landscape Cleanup, Bi-weekly Landscape Maintenance Services, and Yearly Landscape Maintenance Services for the Winnetka DMV Field Office",Department of Motor Vehicles,"08/05/2024
11:59PM PDT",Posted
03A3809,"03A3809 - Land Surveying, Right of Way Engineering and Sub-surface Utility Location Services, District 1, North.",Department of Transportation,"08/06/2024
10:00AM PDT",Posted
12A2212,A&E - on-call Claims and CPM Scheduling Support,Department of Transportation,"08/06/2024
10:00AM PDT",Posted
0000032054,LANDSCAPE MAINTENANCE  - IFB 24C101003,Dept of the CA Highway Patrol,"08/06/2024
11:00AM PDT",Posted
0000031877,"Bid No. SY24001 - Job Order Contracts NO's 68, 69, and 70","CSU, Fullerton","08/06/2024
11:00AM PDT",Posted
07-398404,"Replace irrigation system, highway planting, & install monument sign.",Department of Transportation,"08/06/2024
2:00PM PDT",Posted
0000032137,P2499018 - Drilling Domestic Water Well,Department of Fish & Wildlife,"08/06/2024
2:00PM PDT",Posted
